Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
角;カク;かど、つの;い, す, すみ, ずみ, ふさ;angle, corner, square;勹: wrapping enclosure, wrapping radical (no. 20);角;つの・かく・つのへん;(none);象形 Pictographic;angle;A museum display of two walking sticks bound together under a glass canopy, showing the first device used to measure an angle.;The gates have been bound up together leaving no angle to get through...
計;ケイ;はか.る、はか.らう;え, かず, け;plot, plan, scheme, measure;言: say<br>十: ten;言;こと・げん・ごんべん・ことば;(none);会意 Compound Ideographic;plot;A plot is a summary of a book that can be given in ten words.;Say-ten´s (satan´s) evil plot.
直;チョク、ジキ、ジカ;ただ.ちに、なお.す、-なお.す、なお.る、なお.き、す.ぐ;すぐ, なお, のう, のお;straightaway, honesty, frankness, fix, repair;十: ten<br>目: eye, class, look, insight, experience, care, favor;目;め・めへん・よこめ;(none);会意 Compound Ideographic;straightaway;If you get a needle in your eye that is hooked in there, get to a hospital straightaway.;I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.
線;セン;すじ;;line, track;糸: thread<br>泉: spring, fountain;糸;いと・いとへん;(none);形声 Phonetic;line;This kanji is used for train lines. Spiderman does a hot spring tour of Japan using the train lines. You can see the Spidey costume hanging on the washing line as he enjoys the onsen.;Japan´s train lines are like threads that spring from Tokyo station.
矢;シ;や;;dart, arrow;天: heavens, sky, imperial;矢;や・やへん;(none);象形 Pictographic;dart;Zeus ran out of lightning bolts and has to drop darts from the heavens.;Do not mistake with LOSE 失.
弱;ジャク;よわ.い、よわ.る、よわ.まる、よわ.める;;weak, frail;弓: bow, bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15)<br>弓: bow, bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15);弓;ゆみ・ゆみへん;(none);会意 Compound Ideographic;weak;Two weak archers agree on a duel to the death. They constantly shoot at each other but never manage to hit their target. But what they lack in skill they make up in determination, and they keep shooting for hours, and days, and months, until it´s wintertime and their bows are coated in ice.;BOWS with ICE on them are brittle and WEAK.
強;キョウ、ゴウ;つよ.い、つよ.まる、つよ.める、し.いる、こわ.い;すね;strong;弓: bow, bow (archery, violin)<br>厶: I, myself, katakana mu radical (no. 28)<br>虫: insect, bug, temper;弓;ゆみ・ゆみへん;(none);会意 Compound Ideographic;strong;An insect who can fly vast distances is strong.;Legolas is so strong that he can even shoot down vast numbers of tiny insects at vast distances with ease.
高;コウ;たか.い、たか、-だか、たか.まる、たか.める;か, こ, じょい, た, はか;tall, high, expensive;亠: kettle lid radical (no. 8)<br>口: mouth<br>冂: upside-down box radical (no. 13)<br>口: mouth;高;たかい;(none);会意 Compound Ideographic;tall;Two little aliens in a trenchcoat and top hat, trying to look TALL. The bottom one, in the glass helmet, is under the coat. The top one has his top hat pulled down in disguise, so all you can see is his mouth.;Here we have TWO MOUTHS each wearing a different hat. The top one is wearing a TOP HAT which is know to be as a TALL hat. The bottom one is wearing a SPACE HELMET which is known as an EXPENSIVE hat. (this kanji means both).
同;ドウ;おな.じ;;same, agree, equal;冂: upside-down box radical (no. 13)<br>一: one, one radical (no.1)<br>口: mouth;口;くち・くちへん;(none);会意 Compound Ideographic;same;Muslim women wearing veils (HOOD) all look the same, you can just see ONE MOUTH and very little else.;Imagine monks wandering around the monastery. Covered in their hoods and chanting as if with one mouth they all look the same !
親;シン;おや、おや-、した.しい、した.しむ;ぎ, ちか, のり;parent, intimacy, relative, familiarity, dealer (cards);立: stand up, rise, set up, erect<br>木: tree, wood<br>見: see, hopes, chances, idea, opinion, look at, visible;見;みる;(none);会意 Compound Ideographic;parent;"A wise parent lets their kids learn. A kid wants to try to eat the red pepper plant, the wise parent says ""Try it and see for yourself"".";I remember this one the way the Japanese do: a parent standing on top of a tree watching what his or her kid is doing.
